"Terjemahan Lama"


"This Bible is in the Public Domain."

"Verse ID","Book Name","Book Number",Chapter,Verse,Text
40,Kejadian,1,2,9,"Maka di sana ditumbuhkan Tuhan Allah dari pada tanah berbagai-bagai pohon yang permai kepada pemandangan mata dan baik akan dimakan, dan lagi adalah pohon alhayat di tengah-tengah taman itu dan pohon pengetahuan akan hal baik dan jahatpun."
41,Kejadian,1,2,10,"Maka dari pada Eden mengalirlah suatu sungai akan membasahkan taman itu, maka dari pada tempat itulah dibagikan sungai itu empat batangnya."
42,Kejadian,1,2,11,"Adapun nama sungai yang pertama itu Pison; ia itulah yang melengkung seluruh tanah Hawilah, tempat ada emas."
43,Kejadian,1,2,12,"Maka emas dari tanah itu baik adanya, dan di sanapun ada hablur dan permata unam."
44,Kejadian,1,2,13,"Maka nama sungai yang kedua itu Gihon; ia itu melengkung seluruh tanah Kusy."
45,Kejadian,1,2,14,"Maka nama sungai yang ketiga itu Hidekel; ia itu mengalir ke sebelah timur benua Asyur. Dan nama sungai yang keempat itu Ferat."
46,Kejadian,1,2,15,"Maka diambil oleh Tuhan Allah akan manusia, ditaruh-Nya dalam taman Eden itu, supaya diusahakannya dan dipeliharakannya akan dia."
47,Kejadian,1,2,16,"Maka berfirmanlah Tuhan Allah kepada manusia, kata-Nya: Adapun buah-buah segala pohon yang dalam taman ini boleh engkau makan sesukamu,"
48,Kejadian,1,2,17,"tetapi buah pohon pengetahuan akan hal baik dan jahat itu janganlah engkau makan, karena pada hari engkau makan dari padanya engkau akan mati."
49,Kejadian,1,2,18,"Dan lagi berfirmanlah Tuhan Allah demikian: Tiada baik manusia itu seorang orangnya, bahwa Aku hendak memperbuat akan dia seorang penolong yang sejodoh dengan dia."
50,Kejadian,1,2,19,"Karena setelah dijadikan Tuhan Allah akan segala binatang yang di atas bumi dan segala unggas yang di udara dari pada tanah, maka didatangkannya sekaliannya itu kepada Adam, hendak melihat bagaimana dinamai Adam akan dia, maka sebagaimana dinamai Adam akan segala nyawa yang hidup itu, begitu juga akan jadi namanya."
51,Kejadian,1,2,20,"Lalu dinamai oleh Adam akan segala binatang yang jinak dan akan segala unggas yang di udara dan akan segala margasatwa, akan tetapi bagi manusia tiada didapatinya akan seorang penolong yang sejodoh dengan dia."
52,Kejadian,1,2,21,"Maka didatangkan Tuhan Allah atas Adam itu tidur yang lelap, lalu tertidurlah ia. Maka diambil Allah sebilah tulang rusuknya, lalu ditutupkan-Nya pula tempat itu dengan daging."
53,Kejadian,1,2,22,"Maka dari pada tulang yang telah dikeluarkan-Nya dari dalam Adam itu diperbuat Tuhan seorang perempuan, lalu dibawa-Nya akan dia kepada Adam."
54,Kejadian,1,2,23,"Maka kata Adam: Bahwa sekarang tulang ini dari pada tulangku dan daging ini dari pada dagingku; maka ia akan dinamai perempuan, sebab ia telah dikeluarkan dari dalam orang laki-laki adanya."
55,Kejadian,1,2,24,"Maka sebab itulah tak dapat tiada orang akan meninggalkan ibu bapanya dan berdamping pada isterinya, maka keduanya itu menjadi sedaging jua adanya."
56,Kejadian,1,2,25,"Hata, maka keduanyapun bertelanjang tubuhnya, baik Adam baik Hawa, maka tiada malu ia."
57,Kejadian,1,3,1,"Sebermula, maka ular itu terlebih cerdik dari pada segala binatang di atas bumi yang telah dijadikan Tuhan Allah. Maka kata ular kepada perempuan itu: Barangkali firman Allah begini: Jangan kamu makan buah-buah segala pohon yang dalam taman ini?"
58,Kejadian,1,3,2,"Maka sahut perempuan itu kepada ular: Boleh kami makan buah-buah segala pohon yang dalam taman ini,"
59,Kejadian,1,3,3,"akan tetapi akan buah pohon yang di tengah taman itu adalah firman Allah: Jangan engkau makan atau jamah akan dia, supaya jangan engkau mati."
60,Kejadian,1,3,4,"Lalu kata ular kepada perempuan itu: Niscaya tiada kamu akan mati,"
61,Kejadian,1,3,5,"melainkan telah diketahui Allah akan hal, jika engkau makan buah itu, tak dapat tiada pada ketika itu juga celiklah matamu dan engkau jadi seperti Allah, sebab mengetahui baik dan jahat."
62,Kejadian,1,3,6,"Maka dilihat oleh perempuan itu bahwa buah pohon itu baik akan dimakan dan sedap kepada pemandangan mata, yaitu sebatang pohon asyik akan mendatangkan budi, maka diambilnya dari pada buahnya, lalu dimakannya, serta diberikannya pula kepada lakinya, maka iapun makanlah."
63,Kejadian,1,3,7,"Lalu keduanyapun celiklah matanya, diketahuinyalah akan hal ia bertelanjang, lalu disematnya daun pokok ara, diperbuatnya cawat."
64,Kejadian,1,3,8,"Maka kedengaranlah kepada mereka itu suara Tuhan Allah, yang berjalan-jalan dalam taman pada masa angin silir, maka Adam dan Hawapun menyembunyikan dirinya dari hadirat Tuhan Allah dalam belukar taman itu."
65,Kejadian,1,3,9,"Maka Tuhan Allah berseru akan Adam, kata-Nya: Di manakah engkau?"
66,Kejadian,1,3,10,"Maka sahut Adam: Bahwa kudengar suara-Mu dalam taman, maka takutlah aku, karena aku telanjang, sebab itu aku bersembunyi."
67,Kejadian,1,3,11,"Maka firman Allah: Siapa gerangan memberitahu engkau, bahwa engkau telanjang? Sudahkah engkau makan dari pohon, yang telah Kupesan jangan engkau makan buahnya?"
68,Kejadian,1,3,12,"Maka sahut Adam: Adapun perempuan yang telah Tuhan karuniakan kepadaku itu, ia itu memberikan daku buah pohon itu, lalu kumakan."
69,Kejadian,1,3,13,"Maka firman Tuhan Allah kepada perempuan itu: Apakah ini yang telah kauperbuat? Maka sahut perempuan itu: Si ular itu menipukan daku, lalu aku makan."
70,Kejadian,1,3,14,"Maka firman Tuhan Allah kepada ular itu: Sebab telah engkau berbuat yang demikian, maka terkutuklah engkau dari pada segala binatang yang jinak dan dari pada segala binatang hutan, maka engkau akan menyulur dengan perutmu, dan engkaupun akan makan lebu tanah sepanjang umur hidupmu."
71,Kejadian,1,3,15,"Maka Aku akan mengadakan perseteruan antaramu dengan perempuan ini, dan antara benihmu dengan benihnya; maka ia akan meremukkan kepalamu dan engkaupun akan mematukkan tumitnya."
72,Kejadian,1,3,16,"Maka firman Tuhan kepada perempuan itu: Bahwa Aku akan menambahi sangat kesusahanmu pada masa engkau mengandung, maka dengan kesusahanpun engkau akan beranak, dan engkau akan takluk kepada lakimu dan iapun akan memerintahkan dikau."
73,Kejadian,1,3,17,"Lalu firman Allah kepada Adam: Bahwa sebab telah engkau mendengar akan kata binimu serta sudah makan buah pohon, yang telah Kupesan kepadamu jangan engkau makan dia, maka terkutuklah bumi itu karena sebab engkau, maka dengan kesusahan engkau akan makan hasilnya seumur hidupmu."
74,Kejadian,1,3,18,"Maka bumi itu akan menumbuhkan bagimu duri dan onak, dan sayur-sayuran di ladang akan menjadi makananmu."
75,Kejadian,1,3,19,"Maka dengan berpeluh mukamu engkau akan makan rezekimu sehingga engkau kembali pula kepada tanah, karena dari padanya engkau telah diambil; bahwa abulah adamu, maka kepada abupun engkau akan kembali juga."
76,Kejadian,1,3,20,"Hata, maka dipanggil Adam akan bininya itu Hawa, sebab ialah ibu segala orang yang hidup."
77,Kejadian,1,3,21,"Maka diperbuat Tuhan Allah akan Adam dan Hawa itu sarung dari pada kulit, lalu dikenakan-Nya pada mereka itu."
78,Kejadian,1,3,22,"Maka firman Tuhan Allah: Bahwasanya manusia ini telah menjadi bagaikan seorang Kita, sebab diketahuinya akan baik dan jahat; maka sekarangpun jangan ia mengedangkan tangannya lalu mengambil lagi buah pohon alhayat itu dan makan dia dan ia hidup selama-lamanya."
79,Kejadian,1,3,23,"Maka sebab itu disuruh Tuhan Allah akan dia keluar dari dalam taman Eden, supaya diusahakannya tanah yang telah ia dijadikan dari padanya."
80,Kejadian,1,3,24,"Lalu dihalaukan-Nya manusia itu ke luar dan ditaruh-Nya beberapa kerubiun arah ke sebelah timur taman Eden itu serta dengan sebilah mata pedang yang bernyala-nyala dan yang dilayamkan akan menunggui jalan kepada pohon alhayat itu adanya."
81,Kejadian,1,4,1,"Sebermula, maka bersetubuhlah Adam dengan bininya, yaitu Hawa, maka hamillah ia, lalu beranaklah ia akan Kain, maka katanya: Aku telah beroleh seorang laki-laki dari pada Tuhan."
82,Kejadian,1,4,2,"Kemudian dari pada itu diperanakkannya Habel, adik Kain. Maka Habel itu menjadi seorang gembala kambing dan Kain itu menjadi peladang."
83,Kejadian,1,4,3,"Maka sekali peristiwa, pada kesudahan tahun, dibawa oleh Kain akan hasil tanah akan persembahan kepada Tuhan."
84,Kejadian,1,4,4,"Maka oleh Habelpun dibawa akan kambing-kambingnya yang sulung serta dengan tambunnya. Maka berkenanlah Tuhan akan Habel dengan persembahannya,"
85,Kejadian,1,4,5,"tetapi akan Kain dengan persembahannya tiada Allah berkenan. Lalu marahlah sangat Kain itu serta mukanyapun tunduklah."
86,Kejadian,1,4,6,"Maka firman Tuhan kepada Kain: Mengapa engkau marah dan mukamu tunduk?"
87,Kejadian,1,4,7,"Jikalau engkau berbuat baik, bukankah akan ada tengadah? Dan jikalau engkau tiada berbuat baik, maka dosa itu ada sedia di muka pintu. Bukankah kehendaknya akan dikau, dan engkaupun memerintahkan dia?"
88,Kejadian,1,4,8,"Lalu Kainpun berkata-kata dengan Habel, adiknya; maka pada sekali peristiwa, tatkala mereka itu di padang, berbangkitlah Kain lawan Habel, adiknya lalu dibunuhnya."
89,Kejadian,1,4,9,"Maka firman Tuhan kepada Kain: Di mana Habel, adikmu itu? Maka sahutnya: Tiada aku tahu. Akukah penunggu adikku?"
90,Kejadian,1,4,10,"Maka firman Tuhan: Apa yang telah kaubuat? Bahwa suara darah adikmu itu berseru kepada-Ku dari bumi."
91,Kejadian,1,4,11,"Maka sekarang terkutuklah engkau di atas bumi, yang telah mengangakan mulutnya akan menerima darah adikmu itu dari pada tanganmu."
92,Kejadian,1,4,12,"Apabila engkau mengusahakan tanah ini kelak, niscaya tiada akan diberinya hasilnya kepadamu; bahwa engkau akan mengembara dan sesat di atas bumi."
93,Kejadian,1,4,13,"Maka sembah Kain kepada Tuhan: Bahwa dosaku itu terlebih dari pada yang boleh kutanggung."
94,Kejadian,1,4,14,"Bahwa sesungguhnya sekarang Engkau menghalaukan daku dari pada tanah ini, maka aku terlindung dari pada hadirat-Mu dan aku akan mengembara dan sesat di atas bumi, maka akan jadi kelak, bahwa barangsiapa yang bertemu dengan aku, niscaya dibunuhnya akan daku."
95,Kejadian,1,4,15,"Maka firman Tuhan kepada Kain: Oleh sebab itu barangsiapa yang membunuh akan Kain itu balasnya tujuh kali ganda. Maka oleh Tuhan diadakan suatu tanda pada kain, supaya jangan ia dibunuh oleh barangsiapa yang bertemu dengan dia."
96,Kejadian,1,4,16,"Maka undurlah Kain dari pada hadirat Tuhan, lalu diamlah dia di tanah Nod, di sebelah timur Eden."
97,Kejadian,1,4,17,"Maka bersetubuhlah Kain dengan bininya, maka hamillah ia, lalu diperanakkannya Henokh. Maka diperbuatlah oleh Kain sebuah negeri, dinamainya akan negeri itu Henokh, menurut nama anaknya."
98,Kejadian,1,4,18,"Maka Henokh itupun beranaklah Irad, dan Irad beranaklah Mekhuyael, dan Mekhuyael beranaklah Metusael, dan Metusael beranaklah Lamekh."
99,Kejadian,1,4,19,"Maka oleh Lamekh diambil dua orang akan bininya, nama seorang Ada dan seorang Zila namanya."
100,Kejadian,1,4,20,"Maka Ada itupun beranaklah Yabal, ia itulah bapa segala orang yang mendiami kemah dan yang memeliharakan lembu kambing."
101,Kejadian,1,4,21,"Maka nama adiknya itu Yubal; yaitu bapa segala orang yang bermain kecapi dan muri."
102,Kejadian,1,4,22,"Maka Zila itupun beranaklah Tubal-Kain, ia itu seorang tukang menempa segala perkakas dari pada tembaga dam besi; maka adik perempuan Tubal-Kain itu Naema namanya."
103,Kejadian,1,4,23,"Maka kata Lamekh kepada kedua bininya, Ada dan Zila itu: Dengarlah akan perkataanku, hai kamu, bini Lamekh! Dengarlah tuturku: sesungguhnya seorang laki-laki kubunuh karena lukaku dan seorang mudapun karena bincutku."
104,Kejadian,1,4,24,"Karena jikalau kiranya Kain dibelai tujuh kali, maka Lamekh akan dibelai tujuh puluh kali tujuh."
105,Kejadian,1,4,25,"Maka Adampun bersetubuhlah pula dengan bininya, lalu beranaklah ia laki-laki seorang, maka dinamainya akan dia Set, katanya: Karena Allah telah menentukan kepadaku benih yang lain akan ganti Habel, yang telah dibunuh oleh Kain."
106,Kejadian,1,4,26,"Maka Set itupun beranaklah laki-laki seorang, dinamainya akan dia Enos; maka pada masa itulah orang mulai sembahyang dengan Nama Tuhan."
107,Kejadian,1,5,1,"Bahwa inilah surat anak cucu Adam. Maka pada hari dijadikan Allah akan manusia, dijadikannya atas teladan Allah."
108,Kejadian,1,5,2,"Dan dijadikannya dia laki-laki dan perempuan, lalu diberkatinya dan dinamainya manusia pada hari yang dijadikannya itu."
109,Kejadian,1,5,3,"Maka Adam telah hidup seratus tiga puluh tahun lamanya, lalu beranaklah ia laki-laki seorang yang serupa dan seteladan dengan dia, maka dinamainya akan dia Set."
110,Kejadian,1,5,4,"Kemudian dari pada Adam beranak Set itu adalah umurnya delapan ratus tahun, maka beranaklah ia beberapa laki-laki dan perempuan."
111,Kejadian,1,5,5,"Maka panjang umur Adam itu sekalian sembilan ratus tiga puluh tahun, lalu matilah ia."
112,Kejadian,1,5,6,"Maka Set itu hidup seratus lima tahun lamanya, lalu beranak Enos."
113,Kejadian,1,5,7,"Kemudian dari pada beranak Enos, maka Set hidup delapan ratus tujuh tahun lamanya dan beroleh beberapa anak laki-laki dan perempuan."
114,Kejadian,1,5,8,"Adapun panjang umur Set itu sembilan ratus dua belas tahun, lalu matilah ia."
115,Kejadian,1,5,9,"Maka Enos itu hidup sembilan puluh tahun lamanya, lalu beranak Kenan."
116,Kejadian,1,5,10,"Kemudian dari pada beroleh Kenan itu, Enos hidup delapan ratus lima belas tahun lamanya dan beroleh beberapa anak laki-laki dan perempuan."
117,Kejadian,1,5,11,"Maka sekalian umur Enos itu sembilan ratus lima tahun, lalu matilah ia."
118,Kejadian,1,5,12,"Maka Kenan hidup tujuh puluh tahun, lalu beranak Mahalalel."
119,Kejadian,1,5,13,"Kemudian dari pada beroleh Mahalalel itu Kenanpun hidup delapan ratus empat puluh tahun lamanya, dan beroleh beberapa anak laki-laki dan perempuan."
120,Kejadian,1,5,14,"Maka sekalian umur Kenan itu sembilan ratus sepuluh tahun, lalu matilah ia."
121,Kejadian,1,5,15,"Maka Mahalalel hidup enam puluh lima tahun, lalu beranak Yered."
122,Kejadian,1,5,16,"Kemudian dari pada beroleh Yered itu, Mahalalel hidup delapan ratus tiga puluh tahun lamanya dan beroleh anak laki-laki dan perempuan."
123,Kejadian,1,5,17,"Maka sekalian umur Mahalalel itu delapan ratus sembilan puluh lima tahun, lalu matilah ia."
124,Kejadian,1,5,18,"Maka Yered itu hidup seratus enam puluh dua tahun, lalu beranak Henokh."
125,Kejadian,1,5,19,"Kemudian dari pada beroleh Henokh itu, Yered hidup delapan ratus tahun lamanya dan beroleh anak laki-laki dan perempuan."
126,Kejadian,1,5,20,"Maka sekalian umur Yered itu sembilan ratus enam puluh dua tahun, lalu matilah ia."
127,Kejadian,1,5,21,"Maka Henokh itu hidup enam puluh lima tahun lamanya, lalu beranak Metusalah."
128,Kejadian,1,5,22,"Kemudian dari pada beroleh Metusalah itu, Henokh hidup dengan Allah tiga ratus tahun lamanya dan beroleh anak laki-laki dan perempuan."
129,Kejadian,1,5,23,"Maka sekalian umur Henokh itu tiga ratus enam puluh lima tahun."
130,Kejadian,1,5,24,"Maka Henokh itu hidup dengan Allah, maka tiadalah ia lagi, karena diangkat Allah akan dia."
131,Kejadian,1,5,25,"Maka Metusalah itu hidup seratus delapan puluh tujuh tahun lamanya, lalu beranak Lamekh."
132,Kejadian,1,5,26,"Kemudian dari pada beroleh Lamekh itu, Metusalah hidup tujuh ratus delapan puluh dua tahun lamanya dan beroleh anak laki-laki dan perempuan."
133,Kejadian,1,5,27,"Maka sekalian umur Metusalah itu sembilan ratus enam puluh sembilan tahun, lalu matilah ia."
134,Kejadian,1,5,28,"Maka Lamekh hidup seratus delapan puluh dua tahun lamanya, lalu beranak laki-laki seorang."
135,Kejadian,1,5,29,"Maka dinamainya Nuh, katanya: Inilah kelak akan menghiburkan kita dalam kelelahan kita dan dalam kesakitan tangan kita dari sebab bumi, yang telah dilaknatkan Tuhan adanya."
136,Kejadian,1,5,30,"Maka kemudian dari pada beroleh Nuh itu, Lamekh hidup lima ratus sembilan puluh lima tahun lamanya dan beroleh anak laki-laki dan perempuan."
137,Kejadian,1,5,31,"Maka sekalian umur Lamekh itu tujuh ratus tujuh puluh tujuh tahun, lalu matilah ia."
138,Kejadian,1,5,32,"Maka umur Nuh lima ratus tahun dan beranaklah ia Sem dan Ham dan Yafet."
139,Kejadian,1,6,1,"Maka tatkala banyak manusia itu makin bertambah-tambah di atas bumi dan telah diperanakkannya beberapa anak perempuan,"
140,Kejadian,1,6,2,"maka dipandanglah oleh anak laki-laki Allah akan anak perempuan manusia sebab elok parasnya, lalu diambilnyalah bagi dirinya akan bini barangsiapa yang disukainya."
141,Kejadian,1,6,3,"Maka firman Tuhan: Bahwa Roh-Ku tiada akan berbantah-bantah selama-lamanya dengan manusia, karena hawa nafsu jua adanya, melainkan tinggal lagi panjang umurnya seratus dua puluh tahun."
142,Kejadian,1,6,4,"Maka pada zaman itu adalah beberapa orang tinggi besar dalam dunia dan kemudian dari pada itupun, setelah anak-anak Allah bersetubuh dengan anak-anak perempuan manusia lalu beranak; maka inilah orang gagah dan orang yang termasyhur namanya pada zaman dahulukala."
143,Kejadian,1,6,5,"Maka dilihat Tuhan kejahatan manusia itu terlampau banyak di atas bumi dan pada sediakala segala akal pikiran hatinya jahat semata-mata."
144,Kejadian,1,6,6,"Maka bersesallah Tuhan sebab telah dijadikannya manusia di atas bumi, maka ia itu mendukacitakan hati-Nya."
145,Kejadian,1,6,7,"Maka firman Tuhan: Bahwa Aku akan membinasakan manusia, yang telah Kujadikan di atas bumi, baik manusia baik binatang yang berkaki empat, dan binatang yang melata, dan unggas yang di udara, karena bersesallah Aku sebab telah Kujadikan mereka itu."
146,Kejadian,1,6,8,"Tetapi Nuh itu mendapat karunia di hadirat Tuhan."
147,Kejadian,1,6,9,"Maka inilah anak buah Nuh. Maka Nuh itu seorang yang benar dan tulus hatinya di antara orang zamannya, dan Nuh itu hidup dengan Allah."
148,Kejadian,1,6,10,"Maka Nuhpun beranak laki-laki tiga orang, yaitu Sem dan Ham dan Yafet."
149,Kejadian,1,6,11,"Maka bumi itupun telah rusaklah di hadapan hadirat Allah dan lagi bumi telah penuh dengan penggagahan."
150,Kejadian,1,6,12,"Maka ditilik Allah kepada bumi, sesungguhnya telah rusaklah adanya, karena segala manusia di atas bumi telah merusakkan jalannya."
151,Kejadian,1,6,13,"Maka sebab itu firman Allah kepada Nuh: Adapun kesudahan segala manusia itu telah datang di hadapan hadirat-Ku, karena bumi ini telah dipenuhinya dengan penggagahan; maka sesungguhnya Aku akan membinasakan mereka itu kelak serta dengan bumi itu."
152,Kejadian,1,6,14,"Perbuatlah akan dirimu sebuah bahtera dengan kayu gofir; hendaklah engkau memperbuatkan dia berbilik-bilik dan gala-galakanlah luar dalamnya."
153,Kejadian,1,6,15,"Maka demikian hendaklah kauperbuat akan dia: Panjang bahtera itu tiga ratus hasta, dan lebarnya lima puluh hasta, dan tingginya tiga puluh hasta."
154,Kejadian,1,6,16,"Maka hendaklah kauperbuatkan tingkap pada bahtera itu, sehasta dari atas hendaklah kauhabiskan dia, dan pintu bahtera itupun hendaklah kaukenakan pada sebelah iringannya, dan hendaklah kauperbuatkan bahtera itu dengan tingkap yang di bawah dan yang kedua dan yang ketiga."
155,Kejadian,1,6,17,"Bahwa sesungguhnya Aku, bahkan Aku kelak mendatangkan air bah di atas bumi hendak membinasakan segala makhluk yang bernyawa hidup di bawah langit, dan segala sesuatu yang di bumi itu akan putus nyawanya,"
156,Kejadian,1,6,18,"akan tetapi dengan dikau Aku akan mendirikan perjanjian-Ku, maka hendaklah engkau masuk ke dalam bahtera itu, yaitu engkau serta dengan anak binimu dan bini anak-anakmu bersama-sama dengan dikau."
157,Kejadian,1,6,19,"Maka dari pada segala yang hidup, yaitu dari pada segala makhluk dua ekor, seekor jantan dan seekor betina, hendaklah kaubawa masuk ke dalam bahtera itu akan dipeliharakan hidupnya bersama-sama dengan dikau."
158,Kejadian,1,6,20,"Dari pada segala unggas dengan bakanya dan dari pada segala binatang yang berkaki empat dengan bakanya dan dari pada segala binatang yang melata di atas bumi dengan bakanya, dua ekor dari pada tiap-tiap jenis kelak datang mendapatkan dikau akan dipeliharakan hidupnya."
159,Kejadian,1,6,21,"Maka engkau, ambillah olehmu dari pada segala makanan yang dapat dimakan, himpunkanlah dia kepadamu, supaya ia itu menjadi makanan bagi kamu dan bagi sekaliannya."
